latitude,longitude,spring_count
-45.75,170.25,1
-45.75,170.75,1
-44.75,169.25,2
-43.25,146.75,1
-43.25,172.25,1
-42.75,147.25,2
-42.75,172.25,1
-41.25,174.75,3
-40.75,172.75,1
-39.75,175.25,1
-39.25,174.25,1
-38.75,-72.25,1
-38.25,142.25,1
-38.25,144.25,1
-38.25,144.75,2
-38.25,175.75,1
-38.25,176.25,1
-37.75,144.25,2
-37.75,145.25,1
-37.75,145.75,2
-37.75,175.75,2
-37.75,177.25,1
-37.25,144.25,6
-37.25,175.25,1
-36.75,146.75,1
-35.75,148.25,1
-35.25,117.75,1
-34.25,21.25,1
-34.25,115.25,1
-34.25,147.25,1
-33.75,18.25,4
-33.75,19.25,1
-33.75,114.75,1
-33.75,150.25,3
-33.75,151.25,1
-33.25,138.25,1
-32.75,19.25,1
-31.75,115.75,1
-31.25,152.25,1
-30.25,139.25,1
-30.25,148.75,2
-29.25,147.75,1
-29.25,149.75,2
-28.75,149.75,1
-28.25,145.75,1
-26.25,27.75,1
-26.25,135.75,1
-26.25,147.75,1
-26.25,152.75,1
-24.25,-47.25,1
-24.25,145.25,1
-23.75,30.25,1
-23.75,133.25,1
-23.25,-46.75,1
-23.25,144.75,1
-22.75,-46.75,3
-22.75,-44.25,1
-22.75,-43.25,1
-22.25,166.75,1
-17.75,139.75,1
-15.75,-48.75,1
-15.75,128.75,1
-14.25,-39.25,1
-13.25,-72.75,1
-11.25,-73.75,1
-8.25,115.25,1
-7.25,112.75,1
-5.75,-56.75,1
-5.75,-54.75,2
-4.25,-78.75,1
-3.25,23.75,1
0.25,0.25,7
1.25,1.25,1
5.25,95.25,1
5.25,100.25,1
7.25,47.25,1
8.75,-70.75,1
9.75,123.25,1
10.25,-84.25,2
10.25,-64.25,1
13.25,-59.75,4
13.25,-59.25,1
14.25,-90.25,1
15.25,-91.75,1
17.75,-66.75,1
18.25,-99.75,1
18.25,-78.25,1
18.25,-67.25,1
18.25,-66.75,1
18.25,-66.25,5
18.75,-98.25,1
18.75,73.75,1
18.75,76.25,2
19.25,-155.75,11
19.25,-155.25,1
19.25,-154.75,2
19.25,-100.25,1
19.75,-155.75,11
19.75,-155.25,13
20.25,-155.75,7
20.75,-156.75,8
20.75,-156.25,24
20.75,-103.25,1
20.75,-98.75,1
21.25,-158.25,1
21.25,-157.75,25
21.25,-157.25,1
21.25,-156.75,11
21.25,-105.25,1
21.25,39.75,2
21.75,-160.25,1
21.75,-159.75,12
21.75,-159.25,3
21.75,-158.25,6
21.75,-157.75,5
22.25,-159.75,9
22.25,-159.25,5
24.75,80.25,1
25.25,-100.25,1
25.25,102.75,1
25.25,121.75,2
25.75,-82.25,1
26.25,-82.25,1
26.75,-99.25,1
26.75,-82.25,1
27.25,-98.75,1
27.25,-97.25,2
27.25,-82.75,2
27.25,-82.25,5
27.75,-109.75,1
27.75,-99.75,1
27.75,-99.25,2
27.75,-98.75,2
27.75,-98.25,1
27.75,-97.75,2
27.75,-82.75,1
27.75,-82.25,16
27.75,-81.75,2
28.25,-100.25,4
28.25,-99.75,1
28.25,-99.25,1
28.25,-98.75,1
28.25,-97.25,1
